,subject,task,domain,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
0,p0000,CRDM,gain,1.0,0.3839285714285714,0.24285714285714285,0.6190476190476191,112,0,0,0,73.64277986026347,8.0,-4.167,0.5723807530829447,1,-73.64277986026347,-77.63248422271387,153.28555972052695,156.72255746311714,0.051392202663573694,0.6428571428571429,0.33278502718542663,p0000/crdm/p0000_crdm_gain_model_fit.eps
1,p0001,CRDM,gain,1.0,0.4017857142857143,0.14285714285714285,0.8333333333333334,112,0,0,0,65.27110513481038,8.0,-4.167,0.7891670235081005,1,-65.27110513481038,-77.63248422271387,136.54221026962077,139.97920801221096,0.15922946704166874,0.6696428571428571,0.5218090561165544,p0001/crdm/p0001_crdm_gain_model_fit.eps
2,p0002,CRDM,gain,1.0,0.375,0.15714285714285714,0.7380952380952381,112,0,0,0,68.21769220522157,8.0,-4.167,0.7273893184820103,1,-68.21769220522157,-77.63248422271387,142.43538441044313,145.87238215303333,0.12127387280926027,0.6428571428571429,0.4802923236330573,p0002/crdm/p0002_crdm_gain_model_fit.eps
3,p0003,CRDM,gain,1.0,0.4017857142857143,0.12857142857142856,0.8571428571428571,112,0,0,0,63.065938733896736,8.0,-4.167,0.828381799404831,1,-63.065938733896736,-77.63248422271387,132.13187746779346,135.56887521038365,0.1876346691035713,0.6517857142857143,0.5405707699201141,p0003/crdm/p0003_crdm_gain_model_fit.eps
4,p0004,CRDM,gain,1.0,0.3839285714285714,0.12857142857142856,0.8095238095238095,112,0,0,0,65.02195273158816,8.0,-4.167,0.7911613392062586,1,-65.02195273158816,-77.63248422271387,136.04390546317632,139.4809032057665,0.1624388504037605,0.6428571428571429,0.522903101005513,p0004/crdm/p0004_crdm_gain_model_fit.eps
5,p0005,CRDM,gain,1.0,0.3928571428571428,0.3142857142857143,0.5238095238095238,112,0,0,0,75.18626817643074,8.0,-4.167,0.4859059369207432,1,-75.18626817643074,-77.63248422271387,156.3725363528615,159.80953409545168,0.03151021213317562,0.5803571428571429,0.25118248935502685,p0005/crdm/p0005_crdm_gain_model_fit.eps
6,p0006,CRDM,gain,1.0,0.375,0.2571428571428571,0.5714285714285714,112,0,0,0,74.19067296437954,8.0,-4.167,0.5297936791850266,1,-74.19067296437954,-77.63248422271387,154.3813459287591,157.81834367134928,0.04433467887566733,0.6696428571428571,0.2911658376246136,p0006/crdm/p0006_crdm_gain_model_fit.eps
7,p0007,CRDM,gain,1.0,0.3035714285714286,0.11428571428571428,0.6190476190476191,112,0,0,0,72.496137259588,8.0,-4.167,0.6133235153817526,1,-72.496137259588,-77.63248422271387,150.992274519176,154.4292722617662,0.06616234189273917,0.6428571428571429,0.3741125601721438,p0007/crdm/p0007_crdm_gain_model_fit.eps
8,p0008,CRDM,gain,1.0,0.2946428571428572,0.15714285714285714,0.5238095238095238,112,0,0,0,71.2652332156846,8.0,-3.5864117432094766,0.6989548806949905,1,-71.2652332156846,-77.63248422271387,148.5304664313692,151.9674641739594,0.0820178701065748,0.5803571428571429,0.431558782053401,p0008/crdm/p0008_crdm_gain_model_fit.eps
9,p0009,CRDM,gain,1.0,0.2946428571428572,0.12857142857142856,0.5714285714285714,112,0,0,0,71.5408349670365,8.0,-4.167,0.6398553572048366,1,-71.5408349670365,-77.63248422271387,149.081669934073,152.5186676766632,0.07846778725000614,0.6071428571428571,0.4007649645116021,p0009/crdm/p0009_crdm_gain_model_fit.eps
10,p0010,CRDM,gain,1.0,0.3660714285714286,0.38571428571428573,0.3333333333333333,112,0,0,0,73.96735507909492,8.0,4.167,0.6469060927958536,1,-73.96735507909492,-77.63248422271387,153.93471015818983,157.37170790078002,0.04721128249747031,0.6339285714285714,0.4101747638397303,p0010/crdm/p0010_crdm_gain_model_fit.eps
11,p0011,CRDM,gain,1.0,0.2053571428571428,0.18571428571428572,0.23809523809523808,112,0,0,0,71.84729827856798,8.0,4.167,0.6537844422892873,1,-71.84729827856798,-77.63248422271387,149.69459655713595,153.13159429972615,0.07452017028785551,0.6875,0.41963716293594155,p0011/crdm/p0011_crdm_gain_model_fit.eps
12,p0012,CRDM,gain,1.0,0.1517857142857143,0.17142857142857143,0.11904761904761904,112,0,0,0,68.24038463497382,8.0,4.167,0.7685578275524467,1,-68.24038463497382,-77.63248422271387,142.48076926994764,145.91776701253784,0.12098156695328433,0.7142857142857143,0.5952094116183757,p0012/crdm/p0012_crdm_gain_model_fit.eps
13,p0013,CRDM,gain,1.0,0.1339285714285714,0.15714285714285714,0.09523809523809523,112,0,0,0,68.658777101642,8.0,4.167,0.7375050424724138,1,-68.658777101642,-77.63248422271387,143.317554203284,146.7545519458742,0.11559216751750323,0.6964285714285714,0.5450974485831273,p0013/crdm/p0013_crdm_gain_model_fit.eps
14,p0014,CRDM,gain,1.0,0.0803571428571429,0.12857142857142856,0.0,112,0,0,0,64.51362248264309,8.0,4.167,0.8424757765916234,1,-64.51362248264309,-77.63248422271387,135.02724496528617,138.46424270787637,0.16898675691525067,0.6964285714285714,0.7157086344906232,p0014/crdm/p0014_crdm_gain_model_fit.eps
15,p0015,CRDM,gain,1.0,0.2321428571428572,0.24285714285714285,0.21428571428571427,112,0,0,0,70.11237924077153,8.0,4.167,0.7506378553479247,1,-70.11237924077153,-77.63248422271387,146.22475848154306,149.66175622413326,0.09686801932511246,0.6875,0.566140282897345,p0015/crdm/p0015_crdm_gain_model_fit.eps
16,p0016,CRDM,gain,1.0,0.1339285714285714,0.2,0.023809523809523808,112,0,0,0,62.48895910380535,8.0,4.167,0.8991592044699036,1,-62.48895910380535,-77.63248422271387,130.97791820761068,134.41491595020088,0.19506686241631044,0.6964285714285714,0.8020310284480325,p0016/crdm/p0016_crdm_gain_model_fit.eps
17,p0017,CRDM,gain,1.0,0.0982142857142857,0.14285714285714285,0.023809523809523808,112,0,0,0,66.26478343483384,8.0,4.167,0.7950068047535943,1,-66.26478343483384,-77.63248422271388,138.5295668696677,141.96656461225788,0.14642969243735793,0.7053571428571429,0.6385316675993459,p0017/crdm/p0017_crdm_gain_model_fit.eps
