,subject,task,domain,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
0,p0000,CRDM,gain,1.0,0.5267857142857143,0.5571428571428572,0.47619047619047616,112,0,0,0,76.9455870651915,4.803003698538028e-06,3.9578871285771036,4.341,1,-76.9455870651915,-77.63248422271387,159.891174130383,163.3281718729732,0.008848063596055722,0.5625,0.45162374674932804,p0000/crdm/p0000_crdm_gain_model_fit.eps
1,p0001,CRDM,gain,1.0,0.5089285714285714,0.4714285714285714,0.5714285714285714,112,0,0,0,76.9782896225005,8.0,-0.026629126861487672,0.6606713355860462,1,-76.9782896225005,-77.63248422271387,159.956579245001,163.3935769875912,0.008426815227715823,0.5357142857142857,0.1848290837606409,p0001/crdm/p0001_crdm_gain_model_fit.eps
2,p0002,CRDM,gain,1.0,0.4732142857142857,0.2571428571428571,0.8333333333333334,112,0,0,0,66.85559331312085,8.0,-4.167,0.7820194383722863,1,-66.85559331312085,-77.63248422271387,139.7111866262417,143.1481843688319,0.13881934885242142,0.6696428571428571,0.5177607473789514,p0002/crdm/p0002_crdm_gain_model_fit.eps
3,p0003,CRDM,gain,1.0,0.4196428571428572,0.18571428571428572,0.8095238095238095,112,0,0,0,64.6538603097218,8.0,-4.167,0.8018800884116666,1,-64.6538603097218,-77.63248422271388,135.3077206194436,138.74471836203378,0.16718032461461252,0.6517857142857143,0.528520426166306,p0003/crdm/p0003_crdm_gain_model_fit.eps
4,p0004,CRDM,gain,1.0,0.4196428571428572,0.11428571428571428,0.9285714285714286,112,0,0,0,62.61909857346305,8.0,-4.167,0.8319802896519333,1,-62.61909857346305,-77.63248422271388,131.2381971469261,134.6751948895163,0.19339050913506883,0.6696428571428571,0.542014973059748,p0004/crdm/p0004_crdm_gain_model_fit.eps
5,p0005,CRDM,gain,1.0,0.5089285714285714,0.5142857142857142,0.5,112,0,0,0,77.57433969953586,6.882247110191751,-4.167,0.125,1,-77.57433969953586,-77.63248422271387,161.1486793990717,164.5856771416619,0.0007489715646765704,0.48214285714285715,0.05431454361190435,p0005/crdm/p0005_crdm_gain_model_fit.eps
6,p0006,CRDM,gain,1.0,0.4910714285714286,0.45714285714285713,0.5476190476190477,112,0,0,0,76.04476816303118,8.0,-0.4924160927754951,0.7235067276846384,1,-76.04476816303118,-77.63248422271387,158.08953632606236,161.52653406865255,0.020451697193249907,0.5982142857142857,0.2337097481520123,p0006/crdm/p0006_crdm_gain_model_fit.eps
7,p0007,CRDM,gain,1.0,0.3482142857142857,0.22857142857142856,0.5476190476190477,112,0,0,0,74.0450514813094,8.0,-1.3464513639907372,0.7076217938476553,1,-74.0450514813094,-77.63248422271387,154.0901029626188,157.527100705209,0.04621045915666899,0.625,0.2863766244956958,p0007/crdm/p0007_crdm_gain_model_fit.eps
8,p0008,CRDM,gain,1.0,0.3214285714285714,0.15714285714285714,0.5952380952380952,112,0,0,0,70.56859644523595,8.0,-4.167,0.6705100285278032,1,-70.56859644523595,-77.63248422271387,147.1371928904719,150.5741906330621,0.09099139166038883,0.6160714285714286,0.4305849106859642,p0008/crdm/p0008_crdm_gain_model_fit.eps
9,p0009,CRDM,gain,1.0,0.3125,0.15714285714285714,0.5714285714285714,112,0,0,0,72.94453378290233,8.0,-4.167,0.5745633542404659,1,-72.94453378290233,-77.63248422271387,151.88906756580465,155.32606530839485,0.06038645403079779,0.6428571428571429,0.33496957089755286,p0009/crdm/p0009_crdm_gain_model_fit.eps
