,kappa_gt,gamma_gt,kappa_bhm_sing,gamma_bhm_sing,kappa_bhm_agg,gamma_bhm_agg
0,0.0009118819655545,0.2,0.0017229912,0.2487314702,0.0011183448,0.2419184532
1,0.0009118819655545,0.4,0.0014987234,0.8118774849,0.0012338404,0.8236006561
2,0.0009118819655545,0.6000000000000001,0.0006859909,0.9165516526,0.0004361208,0.9613823898
3,0.0009118819655545,0.8,0.0008952378,2.3714455471,0.0007600989,2.4826124755
4,0.0009118819655545,1.0,0.0011587243,1.1484544847,0.0009253562,1.2023371507
5,0.0009118819655545,1.2000000000000002,0.000734177,1.7506316565,0.0005721976,1.8851559832
6,0.0009118819655545,1.4,0.0006497505,1.5913647156,0.0004848467,1.7082723388
7,0.0009118819655545,1.6,0.0011404263,1.9408624249,0.0009723259,2.0532088242
8,0.0009118819655545,1.8,0.000890398,2.3860590774,0.0007578788,2.4887971397
9,0.0009118819655545,2.0,0.0016819551,2.6026083177,0.0015433487,2.5785341279
10,0.0024787521766663,0.2,0.0035819963,0.280280245,0.0032018634,0.2755553307
11,0.0024787521766663,0.4,0.0022576737,0.4654438871,0.0019428537,0.4626264952
12,0.0024787521766663,0.6000000000000001,0.0026255638,0.661818376,0.0024187947,0.6653961309
13,0.0024787521766663,0.8,0.003040688,0.4888867839,0.0027938927,0.4872440948
14,0.0024787521766663,1.0,0.0029021408,1.2924063719,0.0028137933,1.3487440862
15,0.0024787521766663,1.2000000000000002,0.003432652,1.4129417277,0.0033581883,1.484124159
16,0.0024787521766663,1.4,0.0023491879,1.7846425477,0.002266172,1.8437661747
17,0.0024787521766663,1.6,0.0016602557,1.0562965487,0.0014431307,1.0839002645
18,0.0024787521766663,1.8,0.0029255794,2.382885088,0.0028898988,2.4342366184
19,0.0024787521766663,2.0,0.0022711476,2.5651735972,0.0021942257,2.5266456271
20,0.0067379469990854,0.2,0.0070898352,0.2269061662,0.0067284733,0.2244194741
21,0.0067379469990854,0.4,0.0075509329,0.5140423166,0.0074078687,0.515299611
22,0.0067379469990854,0.6000000000000001,0.0068842624,0.7581492732,0.0067852924,0.7720985475
23,0.0067379469990854,0.8,0.0056161464,1.7446508733,0.0055828649,1.8265400882
24,0.0067379469990854,1.0,0.0062628276,1.1702055547,0.0061941511,1.2096284071
25,0.0067379469990854,1.2000000000000002,0.0068063219,1.0404654345,0.006729891,1.0720372547
26,0.0067379469990854,1.4,0.0066875041,2.0056773117,0.006649017,2.0922266347
27,0.0067379469990854,1.6,0.0069524375,1.5178460083,0.0069084561,1.5872663596
28,0.0067379469990854,1.8,0.0065902245,2.700697606,0.006559797,2.6880508173
29,0.0067379469990854,2.0,0.0065234365,2.7991278713,0.0065003954,2.7694043863
30,0.0183156388887341,0.2,0.021180064,0.2879596928,0.0207131615,0.2888061543
31,0.0183156388887341,0.4,0.0196301663,0.5950441255,0.0194414033,0.5997067253
32,0.0183156388887341,0.6000000000000001,0.0211912345,0.8198074494,0.0210238128,0.8388031256
33,0.0183156388887341,0.8,0.0162966443,1.3681586444,0.0162096494,1.4219088852
34,0.0183156388887341,1.0,0.0172796088,1.1530157287,0.0171699498,1.1918614143
35,0.0183156388887341,1.2000000000000002,0.0196350152,0.7948667213,0.0194826224,0.8100591738
36,0.0183156388887341,1.4,0.0178381671,1.024123861,0.0177152308,1.0518661208
37,0.0183156388887341,1.6,0.0190814599,1.3646563692,0.0189939233,1.4158563292
38,0.0183156388887341,1.8,0.0191240612,2.8242039219,0.0190715008,2.7781090299
39,0.0183156388887341,2.0,0.0163998283,1.9871824947,0.0163164314,2.0747746934
40,0.0497870683678639,0.2,0.044631538,0.210673364,0.0426469712,0.2126639524
41,0.0497870683678639,0.4,0.0447476372,0.2907801166,0.0434054902,0.2930524651
42,0.0497870683678639,0.6000000000000001,0.0441300005,0.5997524732,0.0435590189,0.6090993152
43,0.0497870683678639,0.8,0.044269627,1.5240348489,0.0439366976,1.6020440202
44,0.0497870683678639,1.0,0.0558785276,2.2083480811,0.0556484713,2.264534345
45,0.0497870683678639,1.2000000000000002,0.0436925281,1.4839685535,0.0433766913,1.5621020006
46,0.0497870683678639,1.4,0.0504230918,1.5278011439,0.050003963,1.5985754502
47,0.0497870683678639,1.6,0.0519225973,1.1785614806,0.0514950903,1.2232174573
48,0.0497870683678639,1.8,0.0552752899,1.7215778071,0.0549719463,1.8112898401
49,0.0497870683678639,2.0,0.0499771603,1.5279507209,0.0496308583,1.601881185
50,0.1353352832366127,0.2,0.1495513993,0.2358087702,0.1426558889,0.2378012071
51,0.1353352832366127,0.4,0.1463235412,0.4239146014,0.1428838918,0.4284218375
52,0.1353352832366127,0.6000000000000001,0.1412678825,1.4571789333,0.140545605,1.5525210311
53,0.1353352832366127,0.8,0.1447825254,1.9123038026,0.1440737128,2.0027474975
54,0.1353352832366127,1.0,0.1144925345,1.2193769244,0.1134005399,1.2733391891
