,kappa_gt,gamma_gt,kappa_bhm_sing,gamma_bhm_sing,kappa_bhm_agg,gamma_bhm_agg
63,0.0215443469003188,2.0,0.0225558851,1.3647073939,0.0224703752,1.4220497063
64,0.0215443469003188,2.5,0.0216912204,3.9533400463,0.0215575145,5.8256221017
65,0.0215443469003188,3.0,0.022357926,5.0925824978,0.0221435589,7.3081844715
66,0.0215443469003188,3.5,0.0201166909,2.374219166,0.0201549028,2.7991741726
67,0.0215443469003188,4.0,0.0212687887,3.2412929049,0.0211999249,4.4820328273
68,0.0215443469003188,4.5,0.02414118,5.6010282312,0.0240908165,7.6681943835
69,0.0215443469003188,5.0,0.0215425301,5.4731715386,0.0214183319,7.7504340389
70,0.0774263682681127,0.5,0.0854216165,0.4830007376,0.083382344,0.4901665059
71,0.0774263682681127,1.0,0.0778311364,0.8469180245,0.0768063185,0.8734134186
72,0.0774263682681127,1.5,0.0696630286,1.1469075902,0.0690826102,1.2279435833
73,0.0774263682681127,2.0,0.0741913345,3.7282722132,0.0732940397,6.6982969737
74,0.0774263682681127,2.5,0.0934488699,3.5867676272,0.0928376872,6.6051686212
75,0.0774263682681127,3.0,0.0742270841,3.7022270283,0.0732882323,6.6873165188
76,0.0774263682681127,3.5,0.0742338787,3.6707337573,0.0733059533,6.6690103122
77,0.0774263682681127,4.0,0.0806165887,2.5556363643,0.0789839681,4.0279257463
78,0.0774263682681127,4.5,0.0842887465,3.7821929316,0.0824144823,6.9036658418
79,0.0774263682681127,5.0,0.0736088297,2.9143086344,0.0728448713,4.8987599297
80,0.2782559402207126,0.5,0.2713918628,0.9589827316,0.2656593367,1.1010629528
81,0.2782559402207126,1.0,0.284867879,2.5959342773,0.2792692016,6.2899800995
82,0.2782559402207126,1.5,0.3412784688,0.9306454359,0.3321595775,1.0947352121
83,0.2782559402207126,2.0,0.3073465567,2.7396613348,0.3030886192,6.5469682673
84,0.2782559402207126,2.5,0.2849334596,2.5672800472,0.2792659752,6.2960712977
85,0.2782559402207126,3.0,0.2591064754,2.6474663786,0.2569581432,6.3661658675
86,0.2782559402207126,3.5,0.2850336353,2.5888053526,0.2793881386,6.2753450328
87,0.2782559402207126,4.0,0.307258218,2.7114826202,0.3031290766,6.5305074111
88,0.2782559402207126,4.5,0.2847170541,2.6042079215,0.2793009575,6.3279703622
89,0.2782559402207126,5.0,0.2849870335,2.5999604072,0.279194714,6.3154872073
90,1.0,0.5,0.9699494574,0.4330459767,0.955578931,0.4608078504
91,1.0,1.0,0.9450120855,0.8613870889,0.9219304091,1.2542405685
92,1.0,1.5,1.0585391182,1.501170909,1.0523825512,5.7708921596
93,1.0,2.0,0.9297206254,1.7729938665,0.8979871762,6.1957366711
94,1.0,2.5,0.9298888211,1.7652385692,0.8981013763,6.1743087561
95,1.0,3.0,0.9289968642,1.7875741798,0.8974368693,6.1625961152
96,1.0,3.5,0.9297206034,1.7833269017,0.8983256275,6.1562160707
97,1.0,4.0,0.9296871213,1.7896384207,0.8978321607,6.1797088803
98,1.0,4.5,0.9295632679,1.7778454383,0.897896819,6.1755285274
99,1.0,5.0,1.057871073,1.5114623768,1.0522159139,5.7578528807
