,kappa_gt,gamma_gt
0,0.0009118819655545166,0.2
1,0.0009118819655545166,0.4
2,0.0009118819655545166,0.6000000000000001
3,0.0009118819655545166,0.8
4,0.0009118819655545166,1.0
5,0.0009118819655545166,1.2000000000000002
6,0.0009118819655545166,1.4000000000000001
7,0.0009118819655545166,1.6
8,0.0009118819655545166,1.8
9,0.0009118819655545166,2.0
10,0.0024787521766663594,0.2
11,0.0024787521766663594,0.4
12,0.0024787521766663594,0.6000000000000001
13,0.0024787521766663594,0.8
14,0.0024787521766663594,1.0
15,0.0024787521766663594,1.2000000000000002
16,0.0024787521766663594,1.4000000000000001
17,0.0024787521766663594,1.6
18,0.0024787521766663594,1.8
19,0.0024787521766663594,2.0
20,0.006737946999085469,0.2
21,0.006737946999085469,0.4
22,0.006737946999085469,0.6000000000000001
23,0.006737946999085469,0.8
24,0.006737946999085469,1.0
25,0.006737946999085469,1.2000000000000002
26,0.006737946999085469,1.4000000000000001
27,0.006737946999085469,1.6
28,0.006737946999085469,1.8
29,0.006737946999085469,2.0
30,0.018315638888734186,0.2
31,0.018315638888734186,0.4
32,0.018315638888734186,0.6000000000000001
33,0.018315638888734186,0.8
34,0.018315638888734186,1.0
35,0.018315638888734186,1.2000000000000002
36,0.018315638888734186,1.4000000000000001
37,0.018315638888734186,1.6
38,0.018315638888734186,1.8
39,0.018315638888734186,2.0
40,0.04978706836786395,0.2
41,0.04978706836786395,0.4
42,0.04978706836786395,0.6000000000000001
43,0.04978706836786395,0.8
44,0.04978706836786395,1.0
45,0.04978706836786395,1.2000000000000002
46,0.04978706836786395,1.4000000000000001
47,0.04978706836786395,1.6
48,0.04978706836786395,1.8
49,0.04978706836786395,2.0
50,0.1353352832366127,0.2
51,0.1353352832366127,0.4
52,0.1353352832366127,0.6000000000000001
53,0.1353352832366127,0.8
54,0.1353352832366127,1.0
55,0.1353352832366127,1.2000000000000002
56,0.1353352832366127,1.4000000000000001
57,0.1353352832366127,1.6
58,0.1353352832366127,1.8
59,0.1353352832366127,2.0
60,0.36787944117144233,0.2
61,0.36787944117144233,0.4
62,0.36787944117144233,0.6000000000000001
63,0.36787944117144233,0.8
64,0.36787944117144233,1.0
65,0.36787944117144233,1.2000000000000002
66,0.36787944117144233,1.4000000000000001
67,0.36787944117144233,1.6
68,0.36787944117144233,1.8
69,0.36787944117144233,2.0
70,1.0,0.2
71,1.0,0.4
72,1.0,0.6000000000000001
73,1.0,0.8
74,1.0,1.0
75,1.0,1.2000000000000002
76,1.0,1.4000000000000001
77,1.0,1.6
78,1.0,1.8
79,1.0,2.0
80,2.718281828459045,0.2
81,2.718281828459045,0.4
82,2.718281828459045,0.6000000000000001
83,2.718281828459045,0.8
84,2.718281828459045,1.0
85,2.718281828459045,1.2000000000000002
86,2.718281828459045,1.4000000000000001
87,2.718281828459045,1.6
88,2.718281828459045,1.8
89,2.718281828459045,2.0
90,7.3890560989306495,0.2
91,7.3890560989306495,0.4
92,7.3890560989306495,0.6000000000000001
93,7.3890560989306495,0.8
94,7.3890560989306495,1.0
95,7.3890560989306495,1.2000000000000002
96,7.3890560989306495,1.4000000000000001
97,7.3890560989306495,1.6
98,7.3890560989306495,1.8
99,7.3890560989306495,2.0
