,kappa_gt,gamma_gt,kappa_bhm_sing,gamma_bhm_sing,kappa_bhm_agg,gamma_bhm_agg
0,0.0009118819655545,0.2,0.0025275506,0.2541298392,0.0017015361,0.2494017513
1,0.0009118819655545,0.4,0.00190292,0.8149604032,0.0014973754,0.8271485991
2,0.0009118819655545,0.6000000000000001,0.0011245298,0.8530164925,0.0007039422,0.9327424365
3,0.0009118819655545,0.8,0.0012106154,1.9757849538,0.0009054227,2.2213428116
4,0.0009118819655545,1.0,0.0015569465,1.1175644136,0.0011601929,1.1786143596
5,0.0009118819655545,1.2000000000000002,0.0010701323,1.5320516607,0.0007415386,1.7516722893
6,0.0009118819655545,1.4,0.0009878649,1.4147194906,0.0006640947,1.6064355345
7,0.0009118819655545,1.6,0.0014688142,1.7741776606,0.0011446976,1.9118945987
8,0.0009118819655545,1.8,0.00120999,1.9806865274,0.0009096975,2.2208277373
9,0.0009118819655545,2.0,0.00190636,2.3637997533,0.0016679126,2.3927082713
10,0.0024787521766663,0.2,0.0040973541,0.2859891216,0.0035139265,0.2798514192
11,0.0024787521766663,0.4,0.0026907905,0.4724682651,0.0022244558,0.4688769673
12,0.0024787521766663,0.6000000000000001,0.002942426,0.6748411967,0.002598778,0.6721549431
13,0.0024787521766663,0.8,0.0034244172,0.4957352486,0.003009946,0.4922589133
14,0.0024787521766663,1.0,0.0030426645,1.3140163068,0.0028871409,1.3258748403
15,0.0024787521766663,1.2000000000000002,0.0035559173,1.4183998317,0.0034135109,1.4423962727
16,0.0024787521766663,1.4,0.00249463,1.7877522454,0.0023412691,1.7815133023
17,0.0024787521766663,1.6,0.0019905652,1.0738029055,0.0016483339,1.0823476357
18,0.0024787521766663,1.8,0.0030045204,2.1915953846,0.0029193575,2.2484497167
19,0.0024787521766663,2.0,0.0023769141,2.3521547428,0.002250796,2.3548994362
20,0.0067379469990854,0.2,0.0075685859,0.2302842884,0.0069754292,0.2265410611
21,0.0067379469990854,0.4,0.0077271604,0.519264245,0.0074976293,0.5174507506
22,0.0067379469990854,0.6000000000000001,0.0070222654,0.7701318402,0.0068535614,0.7707771476
23,0.0067379469990854,0.8,0.0056944523,1.7365731852,0.0056105019,1.754732406
