SV_delta,ambig_trial,confidence
-0.020286869645674877,0.0,-1.0
-0.019744839096729576,0.0,-1.0
-0.019249399404450248,0.0,-1.0
-0.0185707671519409,0.0,1.0
-0.018151720701873125,0.0,1.0
-0.01756236517038578,0.0,-1.0
-0.017011291967262154,0.0,-1.0
-0.016491446197897396,0.0,-1.0
-0.01583826951032353,0.0,-1.0
-0.015373581269765822,0.0,-1.0
-0.014357456100451709,0.0,-1.0
-0.013946541046944339,0.0,-1.0
-0.01341803506421428,0.0,1.0
-0.013034711118235417,0.0,-1.0
-0.0164868906971518,0.0,-1.0
-0.015444524256872372,0.0,-1.0
-0.014491755617873666,0.0,-1.0
-0.013186693593817229,0.0,-1.0
-0.012380835035994587,0.0,-1.0
-0.011247459013903532,0.0,1.0
-0.010187702854050407,0.0,-1.0
-0.009187999451425873,0.0,-1.0
-0.007931890436860746,0.0,-1.0
-0.007038259205018996,0.0,1.0
-0.005084172340953399,0.0,-1.0
-0.004293951084208457,0.0,-1.0
-0.0032775934251121908,0.0,-1.0
-0.0025404319905374534,0.0,-1.0
-0.012370246836251802,0.0,1.0
-0.010785849847027068,0.0,-1.0
-0.009337641515749036,0.0,-1.0
-0.007353947239183253,0.0,-1.0
-0.006129042231292837,0.0,1.0
-0.004406310677714433,0.0,1.0
-0.002795481314737683,0.0,-1.0
-0.00127593214274839,0.0,-1.0
0.0006333535593905995,0.0,-1.0
0.0019916730317900595,0.0,1.0
0.004961885065169772,0.0,-1.0
0.00616302137542208,0.0,1.0
0.007707885017248405,0.0,1.0
0.008828370397802005,0.0,-1.0
-0.008570267887728723,0.0,1.0
-0.013493123685538636,1.0,-1.0
-0.018826217466499373,1.0,-1.0
-0.023749073264309285,1.0,1.0
-0.006485535007169866,0.0,-1.0
-0.012056573723062495,1.0,-1.0
-0.018091865665279514,1.0,-1.0
-0.023662904381172144,1.0,-1.0
-0.004579997729172454,0.0,-1.0
-0.010743504058007735,1.0,-1.0
-0.01742063591424596,1.0,-1.0
-0.02358414224308124,1.0,1.0
-0.0019698736810595807,0.0,1.0
-0.008944916988008887,1.0,1.0
-0.01650121390387064,1.0,-1.0
-0.023476257210819945,1.0,-1.0
-0.0003581565654142971,0.0,1.0
-0.007834313234600578,1.0,1.0
-0.015933482959552388,1.0,1.0
-0.023409639628738668,1.0,1.0
0.0019085954787678126,0.0,-1.0
-0.006272337312227445,1.0,-1.0
-0.015135014502472312,1.0,-1.0
-0.023315947293467573,1.0,-1.0
0.004028107798474064,0.0,-1.0
-0.0048118214966350395,1.0,1.0
-0.01438841156633657,1.0,1.0
-0.023228340861445672,1.0,1.0
0.006027514603723132,0.0,-1.0
-0.003434068117369911,1.0,-1.0
-0.013684116065220716,1.0,1.0
-0.023145698786313763,1.0,-1.0
0.008539732632853386,0.0,-1.0
-0.0017029462316194982,1.0,-1.0
-0.012799181668131794,1.0,-1.0
-0.02304186053260468,1.0,-1.0
0.010326995096536885,0.0,-1.0
-0.000471377502079786,1.0,1.0
-0.012169614483914513,1.0,-1.0
-0.022967987082531182,1.0,1.0
0.01423516882466808,0.0,-1.0
0.0022216710293906233,1.0,1.0
-0.010792951582159963,1.0,-1.0
-0.022806449377437425,1.0,1.0
0.015815611338157964,0.0,1.0
0.003310724046504721,1.0,1.0
-0.010236237186119636,1.0,-1.0
-0.022741124477772885,1.0,1.0
0.017848326656350496,0.0,1.0
0.0047114296914846955,1.0,-1.0
-0.009520208687119933,1.0,-1.0
-0.02265710565198574,1.0,1.0
0.01932264952549997,0.0,-1.0
0.005727357670606236,1.0,-1.0
-0.009000875172195319,1.0,1.0
-0.022596167027089057,1.0,-1.0
-0.0006536450783056515,0.0,1.0
0.0024734542425326397,0.0,1.0
0.005331760159528756,0.0,-1.0
0.009246946231698066,0.0,1.0
0.011664521905165991,0.0,1.0
0.015064649971439154,0.0,1.0
0.01824391845099853,0.0,1.0
0.02124302865887213,0.0,1.0
0.025011355702567507,0.0,1.0
0.02769224939809276,0.0,1.0
0.033554509990289555,0.0,1.0
0.035925173760524384,0.0,1.0
0.038974246737813176,0.0,-1.0
0.04118573104153739,0.0,-1.0
