SV_delta,ambig_trial,confidence
-0.03281536640322222,0.0,-1.0
-0.03109250632120099,0.0,-1.0
-0.029412854750662826,0.0,-1.0
-0.026957364096755865,0.0,-1.0
-0.02535538706125031,0.0,-1.0
-0.022995859838692914,0.0,-1.0
-0.020680715668125647,0.0,-1.0
-0.018403449262413572,0.0,-1.0
-0.015417692376889357,0.0,-1.0
-0.013211533471679422,0.0,-1.0
-0.00815773829579914,0.0,-1.0
-0.006027003282787623,0.0,-1.0
-0.0032148353479374003,0.0,-1.0
-0.0011255849544591495,0.0,-1.0
-0.025429482338832757,0.0,-1.0
-0.022116289873407313,0.0,-1.0
-0.018886190699295462,0.0,-1.0
-0.014164093287935914,0.0,-1.0
-0.011083368219656001,0.0,-1.0
-0.00654581586858409,0.0,-1.0
-0.0020936155405701165,0.0,-1.0
0.0022857429319531122,0.0,-1.0
0.008027583096422757,0.0,-1.0
0.012270196375672629,0.0,-1.0
0.021989033252365474,0.0,-1.0
0.026086600585079937,0.0,-1.0
0.03149461584440729,0.0,-1.0
0.03551240506263469,0.0,-1.0
-0.017428107935744168,0.0,-1.0
-0.012392055388297497,0.0,-1.0
-0.007482304643647485,0.0,-1.0
-0.0003047165783809716,0.0,-1.0
0.004377985525404499,0.0,-1.0
0.011275065099033803,0.0,-1.0
0.018042409597615043,0.0,-1.0
0.024699034475850347,0.0,-1.0
0.03342663152584421,0.0,-1.0
0.03987540371030401,0.0,-1.0
0.05464803576287714,0.0,-1.0
0.06087633810860312,0.0,-1.0
0.06909652130278068,0.0,-1.0
0.07520356091448635,0.0,-1.0
-0.010042223871354703,0.0,-1.0
-0.02342117372612207,1.0,-1.0
-0.03791503606878671,1.0,-1.0
-0.05129398592355408,1.0,-1.0
-0.003415838940503818,0.0,-1.0
-0.019675551209694005,1.0,-1.0
-0.0372902395013167,1.0,-1.0
-0.05354995177050689,1.0,-1.0
0.003044359407719882,0.0,-1.0
-0.01602386712459952,1.0,-1.0
-0.036681112534612204,1.0,-1.0
-0.055749339066931615,1.0,-1.0
0.01248855423043898,0.0,-1.0
-0.010685452718153677,1.0,-1.0
-0.03579062691246239,1.0,-1.0
-0.05896463386105505,1.0,-1.0
0.018650004366998804,0.0,-1.0
-0.007202638694190272,1.0,-1.0
-0.035209668677145096,1.0,-1.0
-0.06106231173833418,1.0,-1.0
0.027725109069142627,0.0,-1.0
-0.0020728557331923664,1.0,-1.0
-0.03435398426905528,1.0,-1.0
-0.0641519490713903,1.0,-1.0
0.036629509725170574,0.0,-1.0
0.0029604352603980616,1.0,-1.0
-0.033514395409772156,1.0,-1.0
-0.06718346987454468,1.0,-1.0
0.04538822667021703,0.0,-1.0
0.007911377251655631,1.0,1.0
-0.03268854295178588,1.0,-1.0
-0.07016539237034729,1.0,-1.0
0.05687190699915632,0.0,-1.0
0.014402628825538125,1.0,1.0
-0.03160575586254825,1.0,-1.0
-0.07407503403616646,1.0,-1.0
0.06535713355765607,0.0,1.0
0.01919897796404628,1.0,-1.0
-0.030805690595697648,1.0,1.0
-0.07696384618930745,1.0,1.0
0.08479480731104175,0.0,1.0
0.030186294462774856,1.0,1.0
-0.028972927789514304,1.0,1.0
-0.08358144063778124,1.0,-1.0
0.09298994197647067,0.0,1.0
0.034818666600571736,1.0,1.0
-0.02820021505665213,1.0,-1.0
-0.0863714904325511,1.0,-1.0
0.10380597249512538,0.0,1.0
0.04093252323157249,1.0,1.0
-0.027180380137276482,1.0,1.0
-0.0900538294008294,1.0,1.0
0.11184155093158019,0.0,1.0
0.04547470480390745,1.0,1.0
-0.026422711834404693,1.0,1.0
-0.09278955796207747,1.0,1.0
0.005345034596123344,0.0,-1.0
0.015284611992399673,0.0,-1.0
0.024974909514735223,0.0,1.0
0.039141201748813866,0.0,1.0
0.0483833769536536,0.0,1.0
0.06199603400686934,0.0,1.0
0.07535263499091127,0.0,1.0
0.08849071040848094,0.0,1.0
0.10571623090188986,0.0,1.0
0.11844407073963947,0.0,1.0
0.14760058136971804,0.0,1.0
0.1598932833678614,0.0,1.0
0.17611732914584347,0.0,1.0
0.18817069680052567,0.0,1.0
