SV_delta,ambig_trial,confidence
-1.0167990762153827,0.0,-1.0
3.5632346231649645,0.0,1.0
11.554095175417444,0.0,-1.0
32.85182539678988,0.0,1.0
55.503876705197584,0.0,-1.0
106.56635594830625,0.0,1.0
184.12158415427396,0.0,-1.0
295.68025123157224,0.0,1.0
511.8292377767364,0.0,1.0
736.4919759632246,0.0,1.0
1531.8087688793198,0.0,1.0
2016.3216232470472,0.0,-1.0
2826.554845947025,0.0,1.0
3574.8525867205744,0.0,1.0
2.162243198110379,0.0,-1.0
10.970000312303355,0.0,-1.0
26.33703983586582,0.0,-1.0
67.29421333850512,0.0,-1.0
110.8558504700584,0.0,1.0
209.05292593757508,0.0,1.0
358.197595564436,0.0,-1.0
572.7334937900096,0.0,-1.0
988.4046217614793,0.0,1.0
1420.4483490431874,0.0,-1.0
2949.9037200356784,0.0,1.0
3881.6592092043848,0.0,-1.0
5439.800022088958,0.0,-1.0
6878.834138961169,0.0,1.0
5.606205661963287,0.0,-1.0
18.993996475536612,0.0,-1.0
42.35189655135156,0.0,1.0
104.60680027536328,0.0,-1.0
170.82048871532427,0.0,-1.0
320.0800434259496,0.0,1.0
546.7799412587783,0.0,1.0
872.8745065616502,0.0,-1.0
1504.694621078284,0.0,1.0
2161.40108654648,0.0,-1.0
4486.173250455066,0.0,1.0
5902.441593991501,0.0,-1.0
8270.815629576051,0.0,1.0
10458.14748722181,0.0,1.0
8.785247936289048,0.0,-1.0
22.032317093404494,1.0,1.0
36.38330868027956,1.0,-1.0
49.630377837395,1.0,-1.0
26.400762164675,0.0,-1.0
57.264754791314665,1.0,1.0
90.70074680350766,1.0,-1.0
121.56473943014731,1.0,1.0
57.13484121179993,0.0,-1.0
118.7353716118883,1.0,1.0
185.46927954531736,1.0,-1.0
247.06980994540572,1.0,1.0
139.04918821707852,0.0,-1.0
282.5706187702059,1.0,-1.0
438.0521685360939,1.0,-1.0
581.5735990892213,1.0,-1.0
226.1724624801851,0.0,-1.0
456.82413715836003,1.0,-1.0
706.6967847263829,1.0,-1.0
937.3484594045578,1.0,1.0
422.56661341521846,0.0,1.0
849.6281505605016,1.0,-1.0
1312.2781491345584,1.0,-1.0
1739.3396862798415,1.0,1.0
720.8559526689403,0.0,1.0
1446.2306922150858,1.0,1.0
2232.05332672341,1.0,1.0
2957.428066269555,1.0,1.0
1149.9277491200876,0.0,-1.0
2304.4086108610963,1.0,1.0
3555.0962110805226,1.0,-1.0
4709.577072821531,1.0,-1.0
1981.270005063027,0.0,-1.0
3967.15963012745,1.0,-1.0
6118.540057280576,1.0,1.0
8104.429682344999,1.0,1.0
2845.357459626443,0.0,-1.0
5695.403666250647,1.0,1.0
8782.953723426868,1.0,-1.0
11632.999930051072,1.0,1.0
5904.268201611425,0.0,1.0
11813.469863079968,1.0,-1.0
18215.104996337563,1.0,1.0
24124.306657806104,1.0,1.0
7767.779179948838,0.0,-1.0
15540.640900633061,1.0,1.0
23961.241098040977,1.0,1.0
31734.102818725198,1.0,1.0
10884.060805717983,0.0,-1.0
21773.45345470142,1.0,1.0
33570.295491100136,1.0,-1.0
44459.68814008357,1.0,1.0
13762.129039462405,0.0,-1.0
27529.82016764896,1.0,1.0
42444.81888985106,1.0,1.0
56212.51001803761,1.0,1.0
15.408252674467715,0.0,1.0
41.83152401704665,0.0,-1.0
87.93264258773404,0.0,1.0
210.80416309565192,0.0,1.0
341.48907449031174,0.0,1.0
636.0803008928617,0.0,-1.0
1083.5143097734447,0.0,1.0
1727.1220044501656,0.0,1.0
2974.1353883645743,0.0,-1.0
4270.266570209698,0.0,-1.0
8858.63268318717,0.0,-1.0
11653.899150693289,0.0,1.0
16328.32158934701,0.0,-1.0
20645.423939963643,0.0,1.0
