,alpha_gt,beta_gt,gamma_gt,alpha_bhm_sing,beta_bhm_sing,gamma_bhm_sing,alpha_bhm_agg,beta_bhm_agg,gamma_bhm_agg
48,1.2,3.0,4.0,1.2114700256,2.9230283395,2.1964113819,1.1998538062,2.8085403139,1.9815481999
49,1.2,3.0,5.0,1.2131305004,2.9250779189,2.1929986945,1.2918673483,3.1136653917,2.0225075484
50,1.7999999999999998,-3.0,1.0,2.0087738182,0.1813224039,0.1658353226,1.9450550085,0.1871248673,0.1590788895
51,1.7999999999999998,-3.0,2.0,2.0099961939,0.1825022658,0.1649463182,2.04116538,0.2307692504,0.1587460629
52,1.7999999999999998,-3.0,3.0,2.001735123,0.1824639276,0.16800993,1.9223175051,0.2494089147,0.1783737527
53,1.7999999999999998,-3.0,4.0,2.001069747,0.1818542166,0.1676685542,1.9811278553,0.1218958906,0.1805589623
54,1.7999999999999998,-3.0,5.0,1.9981990165,0.1830171449,0.1673589819,1.9137410591,0.2411875252,0.1995517151
55,1.7999999999999998,-1.5,1.0,2.0067924953,0.1812312179,0.1659032912,1.716903362,0.3404842377,0.1519439116
56,1.7999999999999998,-1.5,2.0,1.9806093583,0.1542263525,0.2668104522,1.8457379033,0.1534644497,0.2608249535
57,1.7999999999999998,-1.5,3.0,1.9794311957,0.1544745739,0.2668444486,1.9947108237,0.1793467685,0.261668742
58,1.7999999999999998,-1.5,4.0,1.9784645213,0.1530298601,0.2667210889,1.8766742643,0.1556570327,0.3887951051
59,1.7999999999999998,-1.5,5.0,1.9891943222,0.1542345612,0.2632678764,1.9706563908,0.1155497314,0.2673059696
60,1.7999999999999998,0.0,1.0,1.8771059604,0.0875884346,2.9545106895,2.0189992268,0.1849474393,1.391210255
61,1.7999999999999998,0.0,2.0,1.8767253028,0.0868605939,3.0543419308,1.9569909127,0.1659194521,1.5775909826
62,1.7999999999999998,0.0,3.0,1.8753808885,0.0871034615,3.0260810242,1.9110325145,0.1438895246,1.8557611535
63,1.7999999999999998,0.0,4.0,1.8783987745,0.0877549072,2.9808819914,1.9282994316,0.1320749,1.3767136339
64,1.7999999999999998,0.0,5.0,1.8765474215,0.087472245,3.006992201,1.9148237711,0.1496803763,1.8058732671
65,1.7999999999999998,1.5,1.0,1.8030313185,1.4768988823,1.7288800079,1.718996098,1.4532084425,1.9321091991
66,1.7999999999999998,1.5,2.0,1.8058545117,1.4790755843,1.7359742879,1.8180053681,1.4812244876,1.7117395996
67,1.7999999999999998,1.5,3.0,1.8067709664,1.480394952,1.752391181,1.8729750664,1.5134420172,1.0551026854
68,1.7999999999999998,1.5,4.0,1.8049872941,1.4781931777,1.7408759315,1.8312955237,1.4666684196,1.8719050127
69,1.7999999999999998,1.5,5.0,1.8053829946,1.4788673316,1.7317479623,1.8905460799,1.5204314049,1.3586338372
70,1.7999999999999998,3.0,1.0,1.7916959705,2.5749702622,1.7965208871,1.8343757851,2.5467250416,1.5160837339
71,1.7999999999999998,3.0,2.0,1.7911099285,2.5857515189,1.7855114546,1.8650017363,2.5184325977,1.700603813
72,1.7999999999999998,3.0,3.0,1.7894740267,2.5768376662,1.8152880857,1.8357538319,2.5153506384,1.3393504205
73,1.7999999999999998,3.0,4.0,1.7912991953,2.5854833362,1.7998494249,1.8751968055,2.5181975234,1.473681206
74,1.7999999999999998,3.0,5.0,1.7904436283,2.5846682671,1.8052027523,1.8645921595,2.697005138,1.3180373329
75,2.4,-3.0,1.0,2.3301569512,0.1764255259,0.1081240266,2.1352417739,0.3585309587,0.094547718
76,2.4,-3.0,2.0,2.3377660211,0.1755077372,0.1073506363,2.2318444392,0.1593167029,0.1429941444
77,2.4,-3.0,3.0,2.3353434292,0.1750271579,0.1079790774,2.071622444,0.3135930907,0.1545409374
78,2.4,-3.0,4.0,2.3303298989,0.1764664334,0.1077814423,2.3573680229,0.1793508619,0.0916834884
79,2.4,-3.0,5.0,2.3329766156,0.1767149208,0.1078884347,2.139644207,0.3003254443,0.1270750107
80,2.4,-1.5,1.0,2.3331918613,0.1593259467,0.1619126715,2.307683633,0.1719340568,0.1612220283
81,2.4,-1.5,2.0,2.3298810478,0.1604098022,0.1622869577,2.3024832578,0.2579146363,0.1496792442
82,2.4,-1.5,3.0,2.3257167297,0.1592119994,0.1638299601,2.1069170633,0.3234693017,0.206340913
83,2.4,-1.5,4.0,2.3300073468,0.1597398745,0.1625014847,2.270976323,0.1374971658,0.1633941268
84,2.4,-1.5,5.0,2.3276432781,0.158383357,0.1635298406,2.1472048322,0.2096292283,0.1781017132
85,2.4,0.0,1.0,2.4906661173,0.1726760476,2.3992260087,2.5171382782,0.2487816705,1.2792831396
86,2.4,0.0,2.0,2.4876189443,0.1699626336,2.4600430773,2.4856771674,0.2517017462,1.3820932976
87,2.4,0.0,3.0,2.4861830431,0.1671431889,2.488887734,2.61973283,0.2521895858,1.893739617
88,2.4,0.0,4.0,2.4904759391,0.1695936542,2.4232383852,2.4589965376,0.2381390223,1.2869177172
89,2.4,0.0,5.0,2.4895242357,0.1692300462,2.4545127881,2.4828055413,0.2848246326,1.5634669447
90,2.4,1.5,1.0,2.2397799469,1.59670559,1.6781857184,2.2560626904,1.5585107139,1.0081322409
91,2.4,1.5,2.0,2.6564329882,1.5506889761,1.7591939709,2.6311322033,1.5645670276,1.6321238969
92,2.4,1.5,3.0,2.2373703701,1.5946805587,1.652406231,2.2089660458,1.6327685402,1.1826239747
93,2.4,1.5,4.0,2.2425610124,1.597405995,1.7020598315,2.335847072,1.6378848341,1.705880727
94,2.4,1.5,5.0,2.2394391853,1.5973997329,1.6725222122,2.3225244074,1.6529272378,1.5310205132
95,2.4,3.0,1.0,2.4073780348,2.7746679862,1.8086768162,2.3662618757,2.8023892429,1.5294724204
96,2.4,3.0,2.0,2.4067571713,2.7746115116,1.7966709291,2.4536649951,2.7026399444,1.1770489687
97,2.4,3.0,3.0,2.408644779,2.7793671372,1.7812117133,2.4567359829,2.9050365427,1.2154363628
98,2.4,3.0,4.0,2.4100692588,2.7790892919,1.7465556017,2.4216460428,2.5771308789,1.4216426073
99,2.4,3.0,5.0,2.4113506503,2.7712575426,1.7696169665,2.4072921711,2.8593663092,1.3435464897
100,3.0,-3.0,1.0,2.7512900226,0.1823019123,0.057886616,2.5563436747,0.2202792438,0.0801887951
101,3.0,-3.0,2.0,2.7446913402,0.1826237947,0.0584044241,2.328750754,0.2163275807,0.1125153144
