,alpha_gt,beta_gt,gamma_gt,alpha_bhm_sing,beta_bhm_sing,gamma_bhm_sing,alpha_bhm_agg,beta_bhm_agg,gamma_bhm_agg
0,0.2671353019658504,-4.1,1.6,0.5025643548,-0.8088905236,2.0588416965,0.4812785014,-1.334748162,2.3644188116
1,0.2671353019658504,-4.1,3.2,1.7353937468,-0.9325073696,2.0358633457,0.352492709,-1.3988519173,3.3778309626
2,0.2671353019658504,-4.1,4.800000000000001,0.3560314959,-1.0425229363,3.4170754141,0.3548171786,-1.3935634538,3.5069310016
3,0.2671353019658504,-4.1,6.4,0.3633084269,-1.1640758017,2.6036008957,0.3681387375,-1.5509231334,2.8389166144
4,0.2671353019658504,-4.1,8.0,0.3911676459,-0.9696503141,2.6018357011,0.3841587771,-1.3280243871,2.7815420227
5,0.2671353019658504,-4.1,1.6,0.4072551609,-0.7775169558,1.5236428659,0.4537628697,-0.7889694487,1.1599914547
6,0.2671353019658504,-4.1,3.2,0.3625720502,-1.0247798889,2.6291750885,0.3713105941,-1.251241223,2.5189966657
7,0.2671353019658504,-4.1,4.800000000000001,0.4662559654,-0.889849059,2.0956267536,0.4800165191,-1.1104254874,2.0452940608
8,0.2671353019658504,-4.1,6.4,0.9920195311,-0.736957265,2.3979687887,0.3538677221,-1.3027033169,3.4536728309
9,0.2671353019658504,-4.1,8.0,0.3164889533,-1.3067769156,3.23975907,0.3231316432,-1.4812366083,3.18700251
10,0.2671353019658504,-4.1,1.6,0.3408214843,-0.8559924429,1.587454581,0.3451893071,-1.1337169768,1.6971173482
11,0.2671353019658504,-4.1,3.2,0.3901827163,-0.7527639066,1.2684704786,0.4416447857,-0.9341871603,1.2086857994
12,0.2671353019658504,-4.1,4.800000000000001,0.4063821149,-0.9132287033,2.04125866,0.4138898543,-1.2898523418,2.0392004669
13,0.2671353019658504,-4.1,6.4,0.3710089467,-1.1382515594,3.1367468821,0.3437377372,-1.3470665413,3.3522098058
14,0.2671353019658504,-4.1,8.0,0.3616864729,-1.2144935546,2.9083422469,0.3705732936,-1.3680103925,2.7686435733
15,0.2671353019658504,-4.1,1.6,0.3788834565,-0.7319675733,1.5681201503,0.3848544569,-0.8174104222,1.5798838257
16,0.2671353019658504,-4.1,3.2,0.4103902179,-0.973630966,3.1043770763,0.3964677197,-1.2428855874,2.7890054501
17,0.2671353019658504,-4.1,4.800000000000001,0.3122572155,-1.2201635856,2.7826839831,0.3287499107,-1.3814058474,2.7550634033
18,0.2671353019658504,-4.1,6.4,0.3429533522,-1.1805187748,3.2228255347,0.3667291856,-1.4572453487,3.062767373
19,0.2671353019658504,-4.1,8.0,0.3856803167,-1.1430682973,2.8331536552,0.3899320581,-1.359657331,2.7311745306
20,0.2671353019658504,-4.1,1.6,0.3534294376,-0.7000355963,1.6186478741,0.3439812257,-1.0763880456,1.7879026023
21,0.2671353019658504,-4.1,3.2,0.4597359908,-0.9522176774,1.9682374216,0.4582317596,-1.1361281496,2.1234307839
22,0.2671353019658504,-4.1,4.800000000000001,0.472419493,-0.8353965377,2.1476965617,0.4419673185,-1.1965840197,2.9007418409
23,0.2671353019658504,-4.1,6.4,0.4517065871,-1.0556480246,2.8149520189,0.4416518852,-1.3335041047,3.2117294514
24,0.2671353019658504,-4.1,8.0,0.4079462059,-1.057997448,2.9529831606,0.4045785969,-1.4394089234,3.2649292325
25,0.5272924240430485,-4.1,1.6,0.4557224721,-0.8967306651,1.5536395388,0.5301188036,-0.9697741723,1.8639068216
26,0.5272924240430485,-4.1,3.2,0.5863284056,-1.0460023822,2.7420249248,0.6051634065,-1.0317333485,2.4150305195
27,0.5272924240430485,-4.1,4.800000000000001,0.5300373051,-0.8071312882,2.3583286317,0.5310723253,-0.9786438829,2.3739508435
28,0.5272924240430485,-4.1,6.4,0.5403823687,-1.0781900853,2.6251202426,0.5661044798,-1.1381358436,2.644785763
29,0.5272924240430485,-4.1,8.0,0.5899174472,-0.9629697624,2.8771636836,0.6022337005,-1.1404088443,2.8462792803
30,0.5272924240430485,-4.1,1.6,1.5185801297,0.1346900967,4.0681412456,0.4540287529,-1.2242076236,2.5114778544
31,0.5272924240430485,-4.1,3.2,0.5810602372,-1.0043006365,2.86790753,0.5786867099,-1.1950235936,2.9506144494
32,0.5272924240430485,-4.1,4.800000000000001,0.6722042402,-0.7624628573,2.2085027371,0.6707454257,-1.1139762799,2.6650823241
33,0.5272924240430485,-4.1,6.4,0.538161804,-1.013171794,3.0398594939,0.5549664338,-1.1373518469,2.8581379702
34,0.5272924240430485,-4.1,8.0,0.5366417755,-0.8992006353,2.8095130337,0.5465958653,-1.2211109142,2.9537438788
35,0.5272924240430485,-4.1,1.6,0.6911533449,-0.5254607861,1.0369892762,0.6828950532,-0.7622437684,0.9306086621
36,0.5272924240430485,-4.1,3.2,0.526481062,-0.92238137,2.6320570147,0.5355396903,-1.1812050929,2.6654204539
37,0.5272924240430485,-4.1,4.800000000000001,0.587965712,-0.9425962839,2.6920033486,0.5778853179,-1.1884050609,2.9027730233
38,0.5272924240430485,-4.1,6.4,0.5856652687,-0.8199876026,2.8132975405,0.5845713154,-1.1190034044,2.8664858931
39,0.5272924240430485,-4.1,8.0,1.1858459922,-0.1744125757,3.4784555696,0.583547892,-1.1608949177,2.9245666831
40,0.5272924240430485,-4.1,1.6,0.7826783184,-0.7984236365,1.3870208484,0.8032190377,-0.8072759614,1.344113836
41,0.5272924240430485,-4.1,3.2,0.5299171448,-0.9229031041,2.7712102962,0.5499421216,-1.1678019639,2.4552419124
42,0.5272924240430485,-4.1,4.800000000000001,0.5404306377,-1.0002191632,2.9395074942,0.5487643754,-1.1586813337,2.8569927114
43,0.5272924240430485,-4.1,6.4,0.5107393375,-0.8292128391,3.0343017343,0.4945938684,-1.1821637695,2.9237828258
44,0.5272924240430485,-4.1,8.0,1.2697380303,-0.3279687828,2.0382407617,0.6049521741,-1.1113963581,2.3171342136
45,0.5272924240430485,-4.1,1.6,0.5230995614,-0.7117677545,0.9626870395,0.5880446292,-1.0043427544,0.8407377869
46,0.5272924240430485,-4.1,3.2,0.537105656,-0.9508515913,3.036700761,0.5521488915,-1.1001116569,2.6537851248
47,0.5272924240430485,-4.1,4.800000000000001,0.5738551111,-0.8807368745,2.7516924267,0.5793347904,-1.1798663976,3.1295310228
48,0.5272924240430485,-4.1,6.4,0.5366306078,-1.024438775,2.8876865831,0.5489765852,-1.2416130405,2.9116926125
49,0.5272924240430485,-4.1,8.0,0.5829502559,-0.9511506693,2.720875417,0.5857637281,-1.1066908702,2.9229409654
50,1.0408107741923882,-4.1,1.6,1.0299333282,-0.6612848785,2.0022046998,1.0311459264,-0.9303981272,2.301148444
51,1.0408107741923882,-4.1,3.2,1.2337819092,-0.6495821981,2.3879758738,1.2773864394,-0.8420549248,2.3886600174
52,1.0408107741923882,-4.1,4.800000000000001,1.2331318943,-0.6880769934,2.2612388836,1.2651533446,-0.7340528893,2.6013543446
