SV_delta,ambig_trial,confidence
-7.459703950042899,0.0,-1.0
-4.919407900085797,0.0,-1.0
-2.3791118501286954,0.0,-1.0
0.8869830712447211,0.0,1.0
4.878876864034453,0.0,1.0
8.144971785407868,0.0,1.0
13.588463321030229,0.0,1.0
-17.459703950042897,0.0,-1.0
-14.919407900085798,0.0,-1.0
-12.379111850128695,0.0,-1.0
-9.113016928755279,0.0,-1.0
-5.121123135965547,0.0,-1.0
-1.8550282145921315,0.0,-1.0
3.588463321030229,0.0,1.0
-9.020231542659827,0.0,-1.0
-8.040463085319656,0.0,-1.0
-7.060694627979483,0.0,-1.0
-5.800992325684977,0.0,-1.0
-4.2613561784361345,0.0,-1.0
-3.001653876141628,0.0,-1.0
-0.9021500389841162,0.0,-1.0
-19.02023154265983,0.0,-1.0
-18.040463085319654,0.0,-1.0
-17.060694627979483,0.0,-1.0
-15.800992325684977,0.0,-1.0
-14.261356178436134,0.0,-1.0
-13.001653876141628,0.0,-1.0
-10.902150038984116,0.0,-1.0
-9.505889881133191,0.0,-1.0
-9.011779762266384,0.0,-1.0
-8.517669643399575,0.0,-1.0
-7.882385204856536,0.0,-1.0
-7.105926446637266,0.0,-1.0
-6.470642008094227,0.0,-1.0
-5.411834610522496,0.0,-1.0
-19.505889881133193,0.0,-1.0
-19.011779762266382,0.0,-1.0
-18.517669643399575,0.0,-1.0
-17.882385204856536,0.0,-1.0
-17.105926446637266,0.0,-1.0
-16.470642008094227,0.0,-1.0
-15.411834610522497,0.0,-1.0
-9.785279485562857,0.0,-1.0
-9.570558971125713,0.0,-1.0
-9.35583845668857,0.0,-1.0
-9.079769223840815,0.0,-1.0
-8.742351272582447,0.0,-1.0
-8.46628203973469,0.0,-1.0
-8.006166651655098,0.0,-1.0
-19.785279485562857,0.0,-1.0
-19.570558971125713,0.0,-1.0
-19.35583845668857,0.0,-1.0
-19.079769223840813,0.0,-1.0
-18.742351272582447,0.0,-1.0
-18.46628203973469,0.0,-1.0
-18.006166651655096,0.0,-1.0
-9.890967491617843,0.0,-1.0
-9.781934983235686,0.0,-1.0
-9.67290247485353,0.0,-1.0
-9.532717821219329,0.0,-1.0
-9.361381022333083,0.0,-1.0
-9.221196368698882,0.0,-1.0
-8.987555279308546,0.0,-1.0
-19.890967491617843,0.0,-1.0
-19.781934983235686,0.0,-1.0
-19.67290247485353,0.0,-1.0
-19.53271782121933,0.0,-1.0
-19.361381022333084,0.0,-1.0
-19.22119636869888,0.0,-1.0
-18.987555279308545,0.0,-1.0
-9.926932291768551,0.0,-1.0
-9.853864583537105,0.0,-1.0
-9.780796875305656,0.0,-1.0
-9.686852679008082,0.0,-1.0
-9.572031994644378,0.0,-1.0
-9.478087798346802,0.0,-1.0
-9.321514137850842,0.0,-1.0
-19.92693229176855,0.0,-1.0
-19.853864583537103,0.0,-1.0
-19.780796875305658,0.0,-1.0
-19.68685267900808,0.0,-1.0
-19.572031994644377,0.0,-1.0
-19.478087798346802,0.0,-1.0
-19.321514137850844,0.0,-1.0
-9.945055838685416,0.0,-1.0
-9.890111677370832,0.0,-1.0
-9.835167516056247,0.0,-1.0
-9.764525022937496,0.0,-1.0
-9.678184198014579,0.0,-1.0
-9.607541704895826,0.0,-1.0
-9.489804216364575,0.0,-1.0
-19.945055838685416,0.0,-1.0
-19.890111677370832,0.0,-1.0
-19.83516751605625,0.0,-1.0
-19.764525022937498,0.0,-1.0
-19.678184198014577,0.0,-1.0
-19.607541704895826,0.0,-1.0
-19.489804216364575,0.0,-1.0
-9.955975559921548,0.0,-1.0
-9.911951119843096,0.0,-1.0
-9.867926679764645,0.0,-1.0
-9.811323828235206,0.0,-1.0
-9.742142565254783,0.0,-1.0
-9.685539713725344,0.0,-1.0
-9.591201627842947,0.0,-1.0
-19.955975559921548,0.0,-1.0
-19.911951119843096,0.0,-1.0
-19.867926679764643,0.0,-1.0
-19.811323828235206,0.0,-1.0
-19.74214256525478,0.0,-1.0
-19.685539713725344,0.0,-1.0
-19.59120162784295,0.0,-1.0
