SV_delta,ambig_trial,confidence
-7.782258433556715,0.0,-1.0
-5.564516867113428,0.0,-1.0
-3.346775300670142,0.0,-1.0
-0.4953932866716322,0.0,-1.0
2.9896291748821042,0.0,1.0
5.841011188880614,0.0,1.0
10.5933145455448,0.0,1.0
-17.782258433556713,0.0,-1.0
-15.56451686711343,0.0,-1.0
-13.346775300670142,0.0,-1.0
-10.495393286671632,0.0,-1.0
-7.010370825117896,0.0,-1.0
-4.158988811119386,0.0,-1.0
0.5933145455447999,0.0,1.0
-9.181025489904286,0.0,-1.0
-8.362050979808574,0.0,-1.0
-7.54307646971286,0.0,-1.0
-6.490109242446943,0.0,-1.0
-5.203149298010821,0.0,-1.0
-4.150182070744904,0.0,-1.0
-2.3952366919683756,0.0,-1.0
-19.181025489904286,0.0,-1.0
-18.362050979808572,0.0,-1.0
-17.543076469712858,0.0,-1.0
-16.49010924244694,0.0,-1.0
-15.203149298010821,0.0,-1.0
-14.150182070744904,0.0,-1.0
-12.395236691968375,0.0,-1.0
-9.592377012508914,0.0,-1.0
-9.184754025017828,0.0,-1.0
-8.777131037526742,0.0,-1.0
-8.253044339323916,0.0,-1.0
-7.612493930409352,0.0,-1.0
-7.088407232206526,0.0,-1.0
-6.214929401868485,0.0,-1.0
-19.592377012508912,0.0,-1.0
-19.184754025017828,0.0,-1.0
-18.77713103752674,0.0,-1.0
-18.253044339323917,0.0,-1.0
-17.61249393040935,0.0,-1.0
-17.088407232206528,0.0,-1.0
-16.214929401868485,0.0,-1.0
-9.824184898812714,0.0,-1.0
-9.648369797625426,0.0,-1.0
-9.47255469643814,0.0,-1.0
-9.246506709197343,0.0,-1.0
-8.970225835903035,0.0,-1.0
-8.744177848662238,0.0,-1.0
-8.367431203260908,0.0,-1.0
-19.824184898812714,0.0,-1.0
-19.648369797625428,0.0,-1.0
-19.472554696438138,0.0,-1.0
-19.24650670919734,0.0,-1.0
-18.970225835903037,0.0,-1.0
-18.744177848662236,0.0,-1.0
-18.36743120326091,0.0,-1.0
-9.91097444678878,0.0,-1.0
-9.821948893577558,0.0,-1.0
-9.732923340366337,0.0,-1.0
-9.618461914809053,0.0,-1.0
-9.478564616905706,0.0,-1.0
-9.364103191348422,0.0,-1.0
-9.173334148752948,0.0,-1.0
-19.910974446788778,0.0,-1.0
-19.82194889357756,0.0,-1.0
-19.732923340366337,0.0,-1.0
-19.618461914809053,0.0,-1.0
-19.478564616905707,0.0,-1.0
-19.364103191348423,0.0,-1.0
-19.17333414875295,0.0,-1.0
-9.94039695528639,0.0,-1.0
-9.880793910572782,0.0,-1.0
-9.821190865859172,0.0,-1.0
-9.744558379798818,0.0,-1.0
-9.650896452391716,0.0,-1.0
-9.574263966331362,0.0,-1.0
-9.44654315623077,0.0,-1.0
-19.940396955286392,0.0,-1.0
-19.88079391057278,0.0,-1.0
-19.821190865859172,0.0,-1.0
-19.744558379798818,0.0,-1.0
-19.650896452391716,0.0,-1.0
-19.574263966331362,0.0,-1.0
-19.44654315623077,0.0,-1.0
-9.95520235660972,0.0,-1.0
-9.910404713219439,0.0,-1.0
-9.865607069829158,0.0,-1.0
-9.808010099755942,0.0,-1.0
-9.737613802999787,0.0,-1.0
-9.680016832926569,0.0,-1.0
-9.58402188280454,0.0,-1.0
-19.95520235660972,0.0,-1.0
-19.91040471321944,0.0,-1.0
-19.86560706982916,0.0,-1.0
-19.80801009975594,0.0,-1.0
-19.737613802999785,0.0,-1.0
-19.68001683292657,0.0,-1.0
-19.58402188280454,0.0,-1.0
-9.964115956127753,0.0,-1.0
-9.928231912255507,0.0,-1.0
-9.89234786838326,0.0,-1.0
-9.846211240547513,0.0,-1.0
-9.789822028748269,0.0,-1.0
-9.743685400912522,0.0,-1.0
-9.66679102118628,0.0,-1.0
-19.964115956127753,0.0,-1.0
-19.928231912255505,0.0,-1.0
-19.892347868383258,0.0,-1.0
-19.846211240547515,0.0,-1.0
-19.78982202874827,0.0,-1.0
-19.743685400912522,0.0,-1.0
-19.666791021186278,0.0,-1.0
